  9.9898E-01  0.0000E+00  4.5111E-02  6.1952E+00
  9.9901E-01  0.0000E+00  4.4589E-02  6.2185E+00
  9.9903E-01  0.0000E+00  4.4080E-02  6.2416E+00
  9.9905E-01  0.0000E+00  4.3582E-02  6.2643E+00
  9.9907E-01  0.0000E+00  4.3095E-02  6.2869E+00
  9.9909E-01  0.0000E+00  4.2619E-02  6.3091E+00
  9.9911E-01  0.0000E+00  4.2153E-02  6.3311E+00
  9.9913E-01  0.0000E+00  4.1697E-02  6.3529E+00
  9.9915E-01  0.0000E+00  4.1251E-02  6.3745E+00
  9.9917E-01  0.0000E+00  4.0814E-02  6.3958E+00
  9.9918E-01  0.0000E+00  4.0387E-02  6.4169E+00
  9.9920E-01  0.0000E+00  3.9968E-02  6.4378E+00
  9.9922E-01  0.0000E+00  3.9558E-02  6.4584E+00
  9.9923E-01  0.0000E+00  3.9156E-02  6.4789E+00
  9.9925E-01  0.0000E+00  3.8762E-02  6.4991E+00
  9.9926E-01  0.0000E+00  3.8377E-02  6.5191E+00
